id,code,name,level
code_703_06,703.06,Pérdida en venta y/o baja de equipo de cómputo,2
code_703_07,703.07,Pérdida en venta y/o baja de equipo de comunicación,2
code_703_08,703.08,"Pérdida en venta y/o baja de activos biológicos, vegetales y semovientes",2
code_703_09,703.09,Pérdida en venta y/o baja de otros activos fijos,2
code_703_10,703.10,Pérdida en venta y/o baja de ferrocarriles,2
code_703_11,703.11,Pérdida en venta y/o baja de embarcaciones,2
code_703_12,703.12,Pérdida en venta y/o baja de aviones,2
code_703_13,703.13,"Pérdida en venta y/o baja de troqueles, moldes, matrices y herramental",2
code_703_14,703.14,Pérdida en venta y/o baja de equipo de comunicaciones telefónicas,2
code_703_15,703.15,Pérdida en venta y/o baja de equipo de comunicación satelital,2
code_703_16,703.16,Pérdida en venta y/o baja de equipo de adaptaciones para personas con capacidades diferentes,2
code_703_17,703.17,Pérdida en venta y/o baja de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,2
code_703_18,703.18,Pérdida en venta y/o baja de otra maquinaria y equipo,2
code_703_19,703.19,Pérdida por enajenación de acciones,2
code_703_20,703.20,Pérdida por enajenación de partes sociales,2
code_703_21,703.21,Otros gastos,2
code_704,704,Otros productos,1
code_704_01,704.01,Ganancia en venta y/o baja de terrenos,2
code_704_02,704.02,Ganancia en venta y/o baja de edificios,2
code_704_03,704.03,Ganancia en venta y/o baja de maquinaria y equipo,2
code_704_04,704.04,"Ganancia en venta y/o baja de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",2
code_704_05,704.05,Ganancia en venta y/o baja de mobiliario y equipo de oficina,2
code_704_06,704.06,Ganancia en venta y/o baja de equipo de cómputo,2
code_704_07,704.07,Ganancia en venta y/o baja de equipo de comunicación,2
code_704_08,704.08,"Ganancia en venta y/o baja de activos biológicos, vegetales y semovientes",2
code_704_09,704.09,Ganancia en venta y/o baja de otros activos fijos,2
code_704_10,704.10,Ganancia en venta y/o baja de ferrocarriles,2
code_704_11,704.11,Ganancia en venta y/o baja de embarcaciones,2
code_704_12,704.12,Ganancia en venta y/o baja de aviones,2
code_704_13,704.13,"Ganancia en venta y/o baja de troqueles, moldes, matrices y herramental",2
code_704_14,704.14,Ganancia en venta y/o baja de equipo de comunicaciones telefónicas,2
code_704_15,704.15,Ganancia en venta y/o baja de equipo de comunicación satelital,2
code_704_16,704.16,Ganancia en venta y/o baja de equipo de adaptaciones para personas con capacidades diferentes,2
code_704_17,704.17,Ganancia en venta de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,2
code_704_18,704.18,Ganancia en venta y/o baja de otra maquinaria y equipo,2
code_704_19,704.19,Ganancia por enajenación de acciones,2
code_704_20,704.20,Ganancia por enajenación de partes sociales,2
code_704_21,704.21,Ingresos por estímulos fiscales,2
code_704_22,704.22,Ingresos por condonación de adeudo,2
code_704_23,704.23,Otros productos,2
code_800,800,Cuentas de orden,0
code_801,801,UFIN del ejercicio,1
code_801_01,801.01,UFIN,2
code_801_02,801.02,Contra cuenta UFIN,2
code_802,802,CUFIN del ejercicio,1
code_802_01,802.01,CUFIN,2
code_802_02,802.02,Contra cuenta CUFIN,2
code_803,803,CUFIN de ejercicios anteriores,1
code_803_01,803.01,CUFIN de ejercicios anteriores,2
code_803_02,803.02,Contra cuenta CUFIN de ejercicios anteriores,2
code_804,804,CUFINRE del ejercicio,1
